run_id,loss,beta,sigma,lr,batch_size,seed,num_steps,final_mae,final_v_w_norm,v_w_norm_true,best_mae,best_step,best_v_w_norm,hjb_rmse,elapsed_sec
sig0.05_lr0.002_B4096_beta_dtd_beta0.75_s1,beta_dtd,0.75,0.05,0.002,4096,1,15000,0.43696322965515966,nan,nan,0.1168981671157524,4050,nan,nan,585.8307166099548
sig0.05_lr0.005_B256_beta_dtd_beta0.5_s0,beta_dtd,0.5,0.05,0.005,256,0,15000,1.2350448059166952,nan,nan,0.23077558066286322,1200,nan,nan,99.32023477554321
sig0.05_lr0.002_B4096_beta_dtd_beta0.1_s2,beta_dtd,0.1,0.05,0.002,4096,2,15000,0.44928374894105433,nan,nan,0.19351320866936075,9800,nan,nan,581.9092562198639
sig0.05_lr0.005_B256_td_beta0_s1,td,0.0,0.05,0.005,256,1,15000,8.304635405129327,nan,nan,0.29840194815428533,2050,nan,nan,70.57189965248108
sig0.05_lr0.002_B4096_beta_dtd_beta0.25_s2,beta_dtd,0.25,0.05,0.002,4096,2,15000,0.5597170624864765,nan,nan,0.1580274269825175,9800,nan,nan,582.2285873889923
sig0.05_lr0.005_B256_beta_dtd_beta0.75_s0,beta_dtd,0.75,0.05,0.005,256,0,15000,1.3546397726647614,nan,nan,0.1397681734268451,2400,nan,nan,98.46318817138672
sig0.05_lr0.002_B4096_beta_dtd_beta0.5_s2,beta_dtd,0.5,0.05,0.002,4096,2,15000,0.3178901636058146,nan,nan,0.17233846343748077,2350,nan,nan,566.4828817844391
sig0.05_lr0.005_B256_td_beta0_s2,td,0.0,0.05,0.005,256,2,15000,6.893928919051789,nan,nan,0.26267807864106124,4250,nan,nan,61.49107050895691
sig0.05_lr0.005_B256_beta_dtd_beta0.1_s1,beta_dtd,0.1,0.05,0.005,256,1,15000,4.308001994543559,nan,nan,0.3258058411050252,4950,nan,nan,86.833984375
sig0.05_lr0.005_B256_beta_dtd_beta0.25_s1,beta_dtd,0.25,0.05,0.005,256,1,15000,4.393486299071798,nan,nan,0.28230779908443454,2550,nan,nan,87.79625201225281
sig0.05_lr0.005_B256_beta_dtd_beta0.5_s1,beta_dtd,0.5,0.05,0.005,256,1,15000,1.1812875259943252,nan,nan,0.15871609141908158,1200,nan,nan,87.43993210792542
